NAMESPACE       NAME                                                        READY   STATUS    RESTARTS   AGE    IP            NODE                          NOMINATED NODE   READINESS GATES
devops-app      backend-64cddff65f-7pvh4                                    1/1     Running   0          15m    10.0.11.183   ip-10-0-11-21.ec2.internal    <none>           <none>
devops-app      backend-64cddff65f-l5cfx                                    1/1     Running   0          14m    10.0.11.167   ip-10-0-11-193.ec2.internal   <none>           <none>
devops-app      backend-64cddff65f-nw5zz                                    1/1     Running   0          14m    10.0.11.5     ip-10-0-11-212.ec2.internal   <none>           <none>
devops-app      frontend-684d67bcd5-mt9jk                                   2/2     Running   0          14m    10.0.11.92    ip-10-0-11-21.ec2.internal    <none>           <none>
devops-app      frontend-684d67bcd5-p8jkw                                   2/2     Running   0          13m    10.0.12.246   ip-10-0-12-51.ec2.internal    <none>           <none>
devops-app      frontend-684d67bcd5-vrxqq                                   2/2     Running   0          14m    10.0.11.199   ip-10-0-11-212.ec2.internal   <none>           <none>
devops-app      worker-6dd5d69c5f-m7d5v                                     1/1     Running   0          15m    10.0.11.101   ip-10-0-11-21.ec2.internal    <none>           <none>
devops-app      worker-6dd5d69c5f-ncllt                                     1/1     Running   0          15m    10.0.11.251   ip-10-0-11-212.ec2.internal   <none>           <none>
devops-app      worker-6dd5d69c5f-q8s8z                                     1/1     Running   0          15m    10.0.11.138   ip-10-0-11-193.ec2.internal   <none>           <none>
jenkins         ci-agent-6n2l8                                              2/2     Running   0          114s   10.0.11.196   ip-10-0-11-193.ec2.internal   <none>           <none>
jenkins         jenkins-0                                                   2/2     Running   0          83m    10.0.12.65    ip-10-0-12-51.ec2.internal    <none>           <none>
kube-system     aws-node-7jfjj                                              2/2     Running   0          75m    10.0.12.51    ip-10-0-12-51.ec2.internal    <none>           <none>
kube-system     aws-node-g6nh8                                              2/2     Running   0          75m    10.0.12.147   ip-10-0-12-147.ec2.internal   <none>           <none>
kube-system     aws-node-mjm7w                                              2/2     Running   0          75m    10.0.11.193   ip-10-0-11-193.ec2.internal   <none>           <none>
kube-system     aws-node-qpg7g                                              2/2     Running   0          75m    10.0.11.212   ip-10-0-11-212.ec2.internal   <none>           <none>
kube-system     aws-node-x66zs                                              2/2     Running   0          75m    10.0.11.21    ip-10-0-11-21.ec2.internal    <none>           <none>
kube-system     coredns-78d5679877-6xrxp                                    1/1     Running   0          83m    10.0.12.138   ip-10-0-12-147.ec2.internal   <none>           <none>
kube-system     coredns-78d5679877-7f74c                                    1/1     Running   0          78m    10.0.12.104   ip-10-0-12-147.ec2.internal   <none>           <none>
kube-system     ebs-csi-controller-fc8fcf8bc-h7qvs                          6/6     Running   0          78m    10.0.12.242   ip-10-0-12-147.ec2.internal   <none>           <none>
kube-system     ebs-csi-controller-fc8fcf8bc-xq6lk                          6/6     Running   0          83m    10.0.12.216   ip-10-0-12-147.ec2.internal   <none>           <none>
kube-system     ebs-csi-node-4t489                                          3/3     Running   0          75m    10.0.12.40    ip-10-0-12-51.ec2.internal    <none>           <none>
kube-system     ebs-csi-node-69nqc                                          3/3     Running   0          75m    10.0.11.121   ip-10-0-11-212.ec2.internal   <none>           <none>
