NAME                                             AGE
backend                                          174m
frontend                                         174m
jenkins                                          174m
kube-prometheus-stack-alertmanager               176m
kube-prometheus-stack-apiserver                  176m
kube-prometheus-stack-coredns                    176m
kube-prometheus-stack-grafana                    176m
kube-prometheus-stack-kube-controller-manager    176m
kube-prometheus-stack-kube-etcd                  176m
kube-prometheus-stack-kube-proxy                 176m
kube-prometheus-stack-kube-scheduler             176m
kube-prometheus-stack-kube-state-metrics         176m
kube-prometheus-stack-kubelet                    176m
kube-prometheus-stack-operator                   176m
kube-prometheus-stack-prometheus                 176m
kube-prometheus-stack-prometheus-node-exporter   176m
worker                                           174m
